,Month,Sales
0,1960-01-01,6550
1,1960-02-01,8728
2,1960-03-01,12026
3,1960-04-01,14395
4,1960-05-01,14587
5,1960-06-01,13791
6,1960-07-01,9498
7,1960-08-01,8251
8,1960-09-01,7049
9,1960-10-01,9545
10,1960-11-01,9364
11,1960-12-01,8456
12,1961-01-01,7237
13,1961-02-01,9374
14,1961-03-01,11837
15,1961-04-01,13784
16,1961-05-01,15926
17,1961-06-01,13821
18,1961-07-01,11143
19,1961-08-01,7975
20,1961-09-01,7610
21,1961-10-01,10015
22,1961-11-01,12759
23,1961-12-01,8816
24,1962-01-01,10677
25,1962-02-01,10947
26,1962-03-01,15200
27,1962-04-01,17010
28,1962-05-01,20900
29,1962-06-01,16205
30,1962-07-01,12143
31,1962-08-01,8997
32,1962-09-01,5568
33,1962-10-01,11474
34,1962-11-01,12256
35,1962-12-01,10583
36,1963-01-01,10862
37,1963-02-01,10965
38,1963-03-01,14405
39,1963-04-01,20379
40,1963-05-01,20128
41,1963-06-01,17816
42,1963-07-01,12268
43,1963-08-01,8642
44,1963-09-01,7962
45,1963-10-01,13932
46,1963-11-01,15936
47,1963-12-01,12628
48,1964-01-01,12267
49,1964-02-01,12470
50,1964-03-01,18944
51,1964-04-01,21259
52,1964-05-01,22015
53,1964-06-01,18581
54,1964-07-01,15175
55,1964-08-01,10306
56,1964-09-01,10792
57,1964-10-01,14752
58,1964-11-01,13754
59,1964-12-01,11738
60,1965-01-01,12181
61,1965-02-01,12965
62,1965-03-01,19990
63,1965-04-01,23125
64,1965-05-01,23541
65,1965-06-01,21247
66,1965-07-01,15189
67,1965-08-01,14767
68,1965-09-01,10895
69,1965-10-01,17130
70,1965-11-01,17697
71,1965-12-01,16611
72,1966-01-01,12674
73,1966-02-01,12760
74,1966-03-01,20249
75,1966-04-01,22135
76,1966-05-01,20677
77,1966-06-01,19933
78,1966-07-01,15388
79,1966-08-01,15113
80,1966-09-01,13401
81,1966-10-01,16135
82,1966-11-01,17562
83,1966-12-01,14720
84,1967-01-01,12225
85,1967-02-01,11608
86,1967-03-01,20985
87,1967-04-01,19692
88,1967-05-01,24081
89,1967-06-01,22114
90,1967-07-01,14220
91,1967-08-01,13434
92,1967-09-01,13598
93,1967-10-01,17187
94,1967-11-01,16119
95,1967-12-01,13713
96,1968-01-01,13210
97,1968-02-01,14251
98,1968-03-01,20139
99,1968-04-01,21725
100,1968-05-01,26099
101,1968-06-01,21084
102,1968-07-01,18024
103,1968-08-01,16722
104,1968-09-01,14385
105,1968-10-01,21342
106,1968-11-01,17180
107,1968-12-01,14577
